Phenotype Term Name,Phenotype Term ID,Disease Name,Disease ID,Chemical Inference Network,Gene Inference Network,References
lead ion transport,GO:0015692,COVID-19,MESH:D000086382,Zinc,,3
negative regulation of glycolytic process,GO:0045820,COVID-19,MESH:D000086382,Ivermectin,,3
negative regulation of cellular metabolic process,GO:0031324,COVID-19,MESH:D000086382,perfluorobutyric acid,,2
taurine metabolic process,GO:0019530,COVID-19,MESH:D000086382,Ribavirin,,7
peptidyl-proline hydroxylation,GO:0019511,COVID-19,MESH:D000086382,Ivermectin,,3
heart development,GO:0007507,COVID-19,MESH:D000086382,Melatonin,,3
histone H3-K4 trimethylation,GO:0080182,COVID-19,MESH:D000086382,Sirolimus,,2
positive regulation of signal transduction by p53 class mediator,GO:1901798,COVID-19,MESH:D000086382,Dactinomycin,,2
quercetin metabolic process,GO:1901732,COVID-19,MESH:D000086382,Ribavirin,,7
RNA-templated viral transcription,GO:0039696,COVID-19,MESH:D000086382,Chloroquine,,6
positive regulation of cell volume,GO:0045795,COVID-19,MESH:D000086382,Chloroquine,,6
positive regulation of cell size,GO:0045793,COVID-19,MESH:D000086382,Sirolimus,,3
negative regulation of cell size,GO:0045792,COVID-19,MESH:D000086382,Choline,,2
regulation of cellular metabolic process,GO:0031323,COVID-19,MESH:D000086382,Choline,,2
positive regulation of bone resorption,GO:0045780,COVID-19,MESH:D000086382,Betulinic Acid,,2
membrane repolarization,GO:0086009,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
positive regulation of lymphocyte migration,GO:2000403,COVID-19,MESH:D000086382,Zinc,,3
positive regulation of Notch signaling pathway,GO:0045747,COVID-19,MESH:D000086382,Emodin,,2
negative regulation of Notch signaling pathway,GO:0045746,COVID-19,MESH:D000086382,Emodin,,2
negative regulation of T cell extravasation,GO:2000408,COVID-19,MESH:D000086382,apilimod,,3
positive regulation of T cell extravasation,GO:2000409,COVID-19,MESH:D000086382,Chloroquine,,6
positive regulation of eosinophil extravasation,GO:2000421,COVID-19,MESH:D000086382,Melatonin,,3
detection of cAMP,GO:0031319,COVID-19,MESH:D000086382,Chloroquine,,6
phospholipase C-activating angiotensin-activated signaling pathway,GO:0086097,COVID-19,MESH:D000086382,Losartan,,2
positive regulation of cAMP-dependent protein kinase activity,GO:2000481,COVID-19,MESH:D000086382,Ivermectin,,3
bile acid and bile salt transport,GO:0015721,COVID-19,MESH:D000086382,Emodin,,2
bilirubin transport,GO:0015723,COVID-19,MESH:D000086382,Zinc,,3
negative regulation of dendritic cell chemotaxis,GO:2000509,COVID-19,MESH:D000086382,apilimod,,3
hippocampus development,GO:0021766,COVID-19,MESH:D000086382,Choline,,2
tryptophan catabolic process to kynurenine,GO:0019441,COVID-19,MESH:D000086382,chloroquine diphosphate,,6
regulation of T-helper 2 cell cytokine production,GO:2000551,COVID-19,MESH:D000086382,Ribavirin,,7
regulation of T-helper 1 cell cytokine production,GO:2000554,COVID-19,MESH:D000086382,Ribavirin,,7
negative regulation of T-helper 1 cell cytokine production,GO:2000555,COVID-19,MESH:D000086382,apilimod,,3
regulation of primary metabolic process,GO:0080090,COVID-19,MESH:D000086382,Choline,,2
regulation of superoxide dismutase activity,GO:1901668,COVID-19,MESH:D000086382,Zinc,,3
positive regulation of NAD+ ADP-ribosyltransferase activity,GO:1901666,COVID-19,MESH:D000086382,Zinc,,3
choline transport,GO:0015871,COVID-19,MESH:D000086382,Choline,,2
IMP dehydrogenase activity,GO:0003938,COVID-19,MESH:D000086382,Ribavirin,,7
L-iditol 2-dehydrogenase activity,GO:0003939,COVID-19,MESH:D000086382,Tenofovir,,2
formate metabolic process,GO:0015942,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
aconitate hydratase activity,GO:0003994,COVID-19,MESH:D000086382,Zinc,,3
mitochondrial genome maintenance,GO:0000002,COVID-19,MESH:D000086382,Choline,,2
fatty acid oxidation,GO:0019395,COVID-19,MESH:D000086382,Chloroquine,,6
epoxygenase P450 pathway,GO:0019373,COVID-19,MESH:D000086382,Nifedipine,,2
mitotic G2 phase,GO:0000085,COVID-19,MESH:D000086382,Zinc,,3
arachidonic acid metabolic process,GO:0019369,COVID-19,MESH:D000086382,Ribavirin,,7
negative regulation of cardiac muscle cell differentiation,GO:2000726,COVID-19,MESH:D000086382,Ribavirin,,7
positive regulation of catecholamine secretion,GO:0033605,COVID-19,MESH:D000086382,Nifedipine,,2
binding of sperm to zona pellucida,GO:0007339,COVID-19,MESH:D000086382,Melatonin,,5
positive regulation of autophagic cell death,GO:1904094,COVID-19,MESH:D000086382,Ivermectin,,3
positive regulation of anion channel activity,GO:1901529,COVID-19,MESH:D000086382,Ivermectin,,3
positive regulation of mitophagy,GO:1901526,COVID-19,MESH:D000086382,Chloroquine,,6
succinate dehydrogenase activity,GO:0000104,COVID-19,MESH:D000086382,Zinc,,3
oxidative stress-induced premature senescence,GO:0090403,COVID-19,MESH:D000086382,Sirolimus,,2
cellular response to stress,GO:0033554,COVID-19,MESH:D000086382,Zinc,,3
lactate biosynthetic process,GO:0019249,COVID-19,MESH:D000086382,Choline,,2
positive regulation of meiotic cell cycle process involved in oocyte maturation,GO:1904146,COVID-19,MESH:D000086382,Zinc,,3
positive regulation of membrane depolarization,GO:1904181,COVID-19,MESH:D000086382,Ivermectin,,3
regulation of metabolic process,GO:0019222,COVID-19,MESH:D000086382,Choline,,3
regulation of steroid metabolic process,GO:0019218,COVID-19,MESH:D000086382,Zinc,,3
regulation of lipid metabolic process,GO:0019216,COVID-19,MESH:D000086382,Choline,,2
meiotic spindle organization,GO:0000212,COVID-19,MESH:D000086382,Melatonin,,4
mitochondrial fission,GO:0000266,COVID-19,MESH:D000086382,Emodin,,2
spinal cord development,GO:0021510,COVID-19,MESH:D000086382,Zinc,,3
mitotic cell cycle,GO:0000278,COVID-19,MESH:D000086382,Nifedipine,,2
protein modification process,GO:0036211,COVID-19,MESH:D000086382,Zinc,,3
multivesicular body assembly,GO:0036258,COVID-19,MESH:D000086382,apilimod,,3
behavioral response to pain,GO:0048266,COVID-19,MESH:D000086382,cannabidiolic acid,,2
hydrogen peroxide biosynthetic process,GO:0050665,COVID-19,MESH:D000086382,Melatonin,,3
adenylate cyclase-activating serotonin receptor signaling pathway,GO:0007192,COVID-19,MESH:D000086382,Ivermectin,,3
homocysteine metabolic process,GO:0050667,COVID-19,MESH:D000086382,Choline,,2
tight junction assembly,GO:0120192,COVID-19,MESH:D000086382,Azithromycin,,2
inorganic cation import across plasma membrane,GO:0098659,COVID-19,MESH:D000086382,Losartan,,2
inorganic cation transmembrane transport,GO:0098662,COVID-19,MESH:D000086382,Sofosbuvir,,3
meiosis I,GO:0007127,COVID-19,MESH:D000086382,Melatonin,,3
meiosis I cytokinesis,GO:0007110,COVID-19,MESH:D000086382,Melatonin,,3
epiboly,GO:0090504,COVID-19,MESH:D000086382,Melatonin,,3
hydrocarbon metabolic process,GO:0120252,COVID-19,MESH:D000086382,Ribavirin,,7
early viral transcription,GO:0019085,COVID-19,MESH:D000086382,Ivermectin,,3
viral gene expression,GO:0019080,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
protein binding,GO:0005515,COVID-19,MESH:D000086382,,ACE2|AGT|ATP11A|BCL11A|BSG|BTK|CCL2|CCL3|CCR2|CD209|CRP|CXCL10|CXCL8|F8|FUT2|HCK|ICAM5|IFNAR2|IL10|IL10RB|IL1B|IL2|IL2RA|IL6|IL7|LZTFL1|MUC1|OAS1|PLSCR1|SELE|TMEM106B|TMPRSS2|TMPRSS4|TNF|TYK2|UGCG,32
membrane,GO:0016020,COVID-19,MESH:D000086382,,ABO|ACE2|ATP11A|BSG|BTK|CCR2|CD209|CRP|FUT2|HCK|ICAM5|IFNAR2|IL10RB|IL2RA|MUC1|OAS1|PLSCR1|SELE|TMEM106B|TMPRSS2|TMPRSS4|TNF|TYK2|UGCG,29
extracellular region,GO:0005576,COVID-19,MESH:D000086382,,ABO|ACE2|AGT|CCL2|CCL3|CD209|CRP|CSF3|CXCL10|CXCL8|F8|IFNAR2|IL10|IL1B|IL2|IL6|IL7|OAS1|TMPRSS2|TMPRSS4|TNF,26
plasma membrane,GO:0005886,COVID-19,MESH:D000086382,,ACE2|ATP11A|BSG|BTK|CCR2|CD209|F8|HCK|ICAM5|IFNAR2|IL10RB|IL2RA|MUC1|PLSCR1|SELE|TMEM106B|TMPRSS2|TMPRSS4|TNF|TYK2,25
extracellular space,GO:0005615,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CCL3|CRP|CSF3|CXCL10|CXCL8|F8|IFNAR2|IL10|IL1B|IL2|IL6|IL7|SELE|TMPRSS4|TNF,23
cytoplasm,GO:0005737,COVID-19,MESH:D000086382,,ACE2|BCL11A|BTK|CCL3|CCR2|CD209|HCK|IL1B|LZTFL1|MUC1|OAS1|PLSCR1|TYK2,24
cytosol,GO:0005829,COVID-19,MESH:D000086382,,AGT|BCL11A|BTK|CCL3|CCR2|HCK|IL1B|LZTFL1|OAS1|PLSCR1|TYK2,10
signal transduction,GO:0007165,COVID-19,MESH:D000086382,,CCL2|CCR2|CSF3|CXCL10|CXCL8|IL10|IL10RB|IL1B|IL6|IL7|TYK2,7
positive regulation of gene expression,GO:0010628,COVID-19,MESH:D000086382,,AGT|BCL11A|CCL2|CCL3|CRP|CXCL8|IL1B|IL6|IL7|PLSCR1|TNF,7
metal ion binding,GO:0046872,COVID-19,MESH:D000086382,,ABO|ACE2|ATP11A|BCL11A|BTK|CD209|CRP|F8|OAS1|SELE,20
cytokine activity,GO:0005125,COVID-19,MESH:D000086382,,CCL2|CCL3|CSF3|CXCL10|IL10|IL1B|IL2|IL6|IL7|TNF,5
nucleus,GO:0005634,COVID-19,MESH:D000086382,,ABO|BCL11A|BTK|CRP|HCK|LZTFL1|MUC1|OAS1|PLSCR1|TYK2,8
cellular response to lipopolysaccharide,GO:0071222,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL10|CXCL8|IL10|IL1B|IL6|PLSCR1|TNF,6
cytokine-mediated signaling pathway,GO:0019221,COVID-19,MESH:D000086382,,CCL2|CCR2|CSF3|HCK|IL10RB|IL1B|IL6|IL7|TYK2,8
positive regulation of transcription by RNA polymerase II,GO:0045944,COVID-19,MESH:D000086382,,CCL3|CSF3|CXCL10|IL10|IL1B|IL2|IL6|PLSCR1|TNF,6
response to lipopolysaccharide,GO:0032496,COVID-19,MESH:D000086382,,BTK|CCL2|CXCL10|IL10|IL1B|IL6|SELE|TNF,7
identical protein binding,GO:0042802,COVID-19,MESH:D000086382,,ACE2|BTK|CCL3|CCR2|CRP|LZTFL1|TNF,21
cellular response to virus,GO:0098586,COVID-19,MESH:D000086382,,CXCL10|IFNAR2|IL10|IL10RB|IL6|OAS1|TYK2,8
external side of plasma membrane,GO:0009897,COVID-19,MESH:D000086382,,CCR2|CD209|CXCL10|IL2RA|IL6|SELE|TNF,7
G protein-coupled receptor signaling pathway,GO:0007186,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CCR2|CXCL10|CXCL8|IL2,4
cell surface receptor signaling pathway,GO:0007166,COVID-19,MESH:D000086382,,AGT|BSG|CCL2|CXCL10|IFNAR2|IL2RA,6
regulation of inflammatory response,GO:0050727,COVID-19,MESH:D000086382,,ACE2|AGT|CCR2|HCK|SELE|TNF,20
defense response to virus,GO:0051607,COVID-19,MESH:D000086382,,CXCL10|IFNAR2|IL10RB|IL6|OAS1|PLSCR1,8
neutrophil chemotaxis,GO:0030593,COVID-19,MESH:D000086382,,BSG|CCL2|CCL3|CXCL10|CXCL8|IL1B,4
positive regulation of T cell proliferation,GO:0042102,COVID-19,MESH:D000086382,,CD209|IL1B|IL2|IL2RA|IL6|TYK2,7
cell-cell signaling,GO:0007267,COVID-19,MESH:D000086382,,AGT|CCL3|CXCL10|IL1B|IL2|IL7,3
response to hypoxia,GO:0001666,COVID-19,MESH:D000086382,,CCL2|CCR2|CRP|IL1B|MUC1|TNF,5
cell adhesion,GO:0007155,COVID-19,MESH:D000086382,,BSG|CCL2|HCK|ICAM5|IL2|SELE,4
response to ethanol,GO:0045471,COVID-19,MESH:D000086382,,CCL2|CRP|CSF3|IL1B|IL2|TNF,3
negative regulation of gene expression,GO:0010629,COVID-19,MESH:D000086382,,AGT|BCL11A|CCL3|CXCL8|IL1B|TNF,5
transferase activity,GO:0016740,COVID-19,MESH:D000086382,,ABO|BTK|FUT2|HCK|TYK2|UGCG,6
growth factor activity,GO:0008083,COVID-19,MESH:D000086382,,AGT|CSF3|IL10|IL2|IL6|IL7,6
Golgi apparatus,GO:0005794,COVID-19,MESH:D000086382,,ABO|ATP11A|FUT2|HCK|PLSCR1|UGCG,4
innate immune response,GO:0045087,COVID-19,MESH:D000086382,,BTK|CD209|CRP|HCK|OAS1,5
protein kinase activity,GO:0004672,COVID-19,MESH:D000086382,,BTK|CCL2|CCL3|HCK|TYK2,4
response to glucocorticoid,GO:0051384,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL6|TNF,5
ATP binding,GO:0005524,COVID-19,MESH:D000086382,,ATP11A|BTK|HCK|OAS1|TYK2,5
membrane raft,GO:0045121,COVID-19,MESH:D000086382,,ACE2|BTK|PLSCR1|SELE|TNF,18
protein phosphorylation,GO:0006468,COVID-19,MESH:D000086382,,BTK|CCL2|CCL3|HCK|TYK2,4
humoral immune response,GO:0006959,COVID-19,MESH:D000086382,,CCL2|CCR2|IL6|IL7|TNF,6
response to bacterium,GO:0009617,COVID-19,MESH:D000086382,,CCL2|CXCL10|IL1B|IL6|TNF,5
nucleotide binding,GO:0000166,COVID-19,MESH:D000086382,,ABO|ATP11A|BTK|HCK|TYK2,5
defense response to Gram-positive bacterium,GO:0050830,COVID-19,MESH:D000086382,,CRP|HCK|IL1B|IL6|TNF,6
positive regulation of cytokine production,GO:0001819,COVID-19,MESH:D000086382,,AGT|IL10|IL1B|IL2|TNF,4
chemokine-mediated signaling pathway,GO:0070098,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL10|CXCL8,3
positive regulation of DNA-templated transcription,GO:0045893,COVID-19,MESH:D000086382,,AGT|IL10|IL1B|IL6|TNF,6
perinuclear region of cytoplasm,GO:0048471,COVID-19,MESH:D000086382,,BTK|CCL2|CCR2|PLSCR1|SELE,4
cell surface,GO:0009986,COVID-19,MESH:D000086382,,ACE2|CD209|IL2RA|MUC1|TNF,19
signaling receptor binding,GO:0005102,COVID-19,MESH:D000086382,,CCL2|CXCL10|F8|HCK|IL6,7
positive regulation of protein kinase B signaling,GO:0051897,COVID-19,MESH:D000086382,,AGT|CCL3|CSF3|IL6|TNF,6
chemotaxis,GO:0006935,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|CXCL10|CXCL8,3
regulation of cell population proliferation,GO:0042127,COVID-19,MESH:D000086382,,ACE2|AGT|CXCL10|IL6|TNF,21
response to wounding,GO:0009611,COVID-19,MESH:D000086382,,CCL2|CCR2|IL6|TMPRSS4,7
receptor signaling pathway via JAK-STAT,GO:0007259,COVID-19,MESH:D000086382,,CCL2|CCR2|IFNAR2|TYK2,2
chemokine activity,GO:0008009,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8,2
cellular response to interleukin-1,GO:0071347,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8|IL6,5
immune system process,GO:0002376,COVID-19,MESH:D000086382,,BTK|HCK|IL2|IL2RA,5
carbohydrate binding,GO:0030246,COVID-19,MESH:D000086382,,BSG|CD209|IL2|SELE,3
cellular response to tumor necrosis factor,GO:0071356,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8|IL6,5
kinase activity,GO:0016301,COVID-19,MESH:D000086382,,BTK|CCL3|HCK|TYK2,4
regulation of gene expression,GO:0010468,COVID-19,MESH:D000086382,,AGT|IL10|IL7|TMPRSS4,4
heparin binding,GO:0008201,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|CXCL8,2
phosphorylation,GO:0016310,COVID-19,MESH:D000086382,,BTK|CCL3|HCK|TYK2,4
defense response to bacterium,GO:0042742,COVID-19,MESH:D000086382,,IL10|IL1B|OAS1|TNF,4
negative regulation of angiogenesis,GO:0016525,COVID-19,MESH:D000086382,,AGT|CCL2|CCR2|CXCL10,3
acute-phase response,GO:0006953,COVID-19,MESH:D000086382,,CRP|F8|IL6|PLSCR1,5
positive regulation of chemokine production,GO:0032722,COVID-19,MESH:D000086382,,IL1B|IL6|IL7|TNF,5
nucleoplasm,GO:0005654,COVID-19,MESH:D000086382,,BCL11A|OAS1|PLSCR1|TMPRSS2,5
hydrolase activity,GO:0016787,COVID-19,MESH:D000086382,,ACE2|PLSCR1|TMPRSS2|TMPRSS4,17
negative regulation of neuron apoptotic process,GO:0043524,COVID-19,MESH:D000086382,,AGT|CCL2|IL10|IL6,6
virus receptor activity,GO:0001618,COVID-19,MESH:D000086382,,ACE2|BSG|CD209|PLSCR1,17
regulation of cell shape,GO:0008360,COVID-19,MESH:D000086382,,CCL2|CCL3|HCK|IL6,6
negative regulation of transcription by RNA polymerase II,GO:0000122,COVID-19,MESH:D000086382,,ABO|BCL11A|IL1B|TNF,4
Golgi membrane,GO:0000139,COVID-19,MESH:D000086382,,ABO|BSG|FUT2|UGCG,4
response to activity,GO:0014823,COVID-19,MESH:D000086382,,CCL2|IL10|IL6|TNF,5
positive regulation of immunoglobulin production,GO:0002639,COVID-19,MESH:D000086382,,BTK|IL10|IL2|IL6,6
monocyte chemotaxis,GO:0002548,COVID-19,MESH:D000086382,,CCL2|CCL3|CCR2|IL6,6
response to mechanical stimulus,GO:0009612,COVID-19,MESH:D000086382,,AGT|CCL2|IL6|TNF,6
regulation of apoptotic process,GO:0042981,COVID-19,MESH:D000086382,,AGT|CXCL10|IL6,6
endoplasmic reticulum,GO:0005783,COVID-19,MESH:D000086382,,ATP11A|BSG|OAS1,3
antiviral innate immune response,GO:0140374,COVID-19,MESH:D000086382,,CXCL10|OAS1|TNF,2
regulation of vascular endothelial growth factor production,GO:0010574,COVID-19,MESH:D000086382,,CCL2|CCR2|IL6,6
positive regulation of vascular endothelial growth factor production,GO:0010575,COVID-19,MESH:D000086382,,BSG|IL1B|IL6,5
peptidase activity,GO:0008233,COVID-19,MESH:D000086382,,ACE2|TMPRSS2|TMPRSS4,16
macrophage chemotaxis,GO:0048246,COVID-19,MESH:D000086382,,CCL2|CCL3|IL1B,2
JNK cascade,GO:0007254,COVID-19,MESH:D000086382,,BTK|IL1B|TNF,3
positive regulation of vascular associated smooth muscle cell proliferation,GO:1904707,COVID-19,MESH:D000086382,,AGT|IL10|TNF,3
positive regulation of interleukin-17 production,GO:0032740,COVID-19,MESH:D000086382,,IL2|IL6|TYK2,6
negative regulation of neurogenesis,GO:0050768,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,5
positive regulation of viral entry into host cell,GO:0046598,COVID-19,MESH:D000086382,,BSG|TMPRSS2|TMPRSS4,4
secretory granule,GO:0030141,COVID-19,MESH:D000086382,,IL1B|TMPRSS4|TNF,3
response to molecule of bacterial origin,GO:0002237,COVID-19,MESH:D000086382,,CXCL8|IL10|IL1B,3
positive regulation of B cell proliferation,GO:0030890,COVID-19,MESH:D000086382,,BTK|IL2|IL7,2
peptidyl-tyrosine phosphorylation,GO:0018108,COVID-19,MESH:D000086382,,BTK|HCK|TYK2,3
positive regulation of neuron projection development,GO:0010976,COVID-19,MESH:D000086382,,AGT|BCL11A|IL6,6
positive regulation of interleukin-8 production,GO:0032757,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,5
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand,GO:2001240,COVID-19,MESH:D000086382,,IL1B|IL7|TNF,2
receptor ligand activity,GO:0048018,COVID-19,MESH:D000086382,,AGT|IL1B|TNF,3
response to estradiol,GO:0032355,COVID-19,MESH:D000086382,,AGT|CRP|IL1B,3
leukocyte migration,GO:0050900,COVID-19,MESH:D000086382,,IL1B|SELE|TNF,3
proteolysis,GO:0006508,COVID-19,MESH:D000086382,,ACE2|TMPRSS2|TMPRSS4,16
liver regeneration,GO:0097421,COVID-19,MESH:D000086382,,IL10|IL6|TNF,5
positive regulation of peptidyl-serine phosphorylation,GO:0033138,COVID-19,MESH:D000086382,,AGT|IL6|TNF,6
cytokine receptor binding,GO:0005126,COVID-19,MESH:D000086382,,IL2|IL7|TYK2,2
positive regulation of MAPK cascade,GO:0043410,COVID-19,MESH:D000086382,,AGT|IL6|TNF,6
regulation of insulin secretion,GO:0050796,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,5
chronic inflammatory response to antigenic stimulus,GO:0002439,COVID-19,MESH:D000086382,,IL10|IL1B|TNF,3
neuronal cell body,GO:0043025,COVID-19,MESH:D000086382,,CCL2|CCR2|TNF,2
positive regulation of monocyte chemotaxis,GO:0090026,COVID-19,MESH:D000086382,,CCL2|CCR2|CXCL10,2
animal organ morphogenesis,GO:0009887,COVID-19,MESH:D000086382,,CCL2|IL7|TNF,1
gene expression,GO:0010467,COVID-19,MESH:D000086382,,BCL11A|IL2|IL6,6
cellular response to estradiol stimulus,GO:0071392,COVID-19,MESH:D000086382,,CCL2|IL10|IL6,5
cellular response to cytokine stimulus,GO:0071345,COVID-19,MESH:D000086382,,CSF3|IL6|PLSCR1,6
endoplasmic reticulum lumen,GO:0005788,COVID-19,MESH:D000086382,,ACE2|F8|IL6,20
cellular response to type II interferon,GO:0071346,COVID-19,MESH:D000086382,,CCL2|CCL3|TNF,1
positive regulation of tyrosine phosphorylation of STAT protein,GO:0042531,COVID-19,MESH:D000086382,,IL2|IL6|TNF,5
intracellular membrane-bounded organelle,GO:0043231,COVID-19,MESH:D000086382,,ATP11A|BSG|HCK,3
blood coagulation,GO:0007596,COVID-19,MESH:D000086382,,F8|IFNAR2|IL10RB,2
inflammatory response to wounding,GO:0090594,COVID-19,MESH:D000086382,,CCR2|IL6|TNF,6
positive regulation of glial cell proliferation,GO:0060252,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,5
astrocyte activation,GO:0048143,COVID-19,MESH:D000086382,,AGT|IL1B|TNF,3
cellular response to interleukin-17,GO:0097398,COVID-19,MESH:D000086382,,CXCL10|IL1B|IL6,5
positive regulation of miRNA transcription,GO:1902895,COVID-19,MESH:D000086382,,AGT|IL10|TNF,3
positive regulation of protein phosphorylation,GO:0001934,COVID-19,MESH:D000086382,,IL1B|IL2|TNF,2
positive regulation of estradiol secretion,GO:2000866,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,5
positive regulation of T cell differentiation,GO:0045582,COVID-19,MESH:D000086382,,IL2|IL2RA|IL7,3
positive regulation of neuroinflammatory response,GO:0150078,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,5
response to organic substance,GO:0010033,COVID-19,MESH:D000086382,,BTK|IL10|TNF,3
calcium ion binding,GO:0005509,COVID-19,MESH:D000086382,,CRP|PLSCR1|SELE,2
response to gamma radiation,GO:0010332,COVID-19,MESH:D000086382,,CCL2|CXCL10|IL1B,2
protein tyrosine kinase activity,GO:0004713,COVID-19,MESH:D000086382,,BTK|HCK|TYK2,3
non-membrane spanning protein tyrosine kinase activity,GO:0004715,COVID-19,MESH:D000086382,,BTK|HCK|TYK2,3
endosome,GO:0005768,COVID-19,MESH:D000086382,,ATP11A|BSG|TMEM106B,3
response to organic cyclic compound,GO:0014070,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,5
glycosyltransferase activity,GO:0016757,COVID-19,MESH:D000086382,,ABO|FUT2|UGCG,3
inflammatory response to antigenic stimulus,GO:0002437,COVID-19,MESH:D000086382,,CCR2|IL1B|IL2RA,4
negative regulation of lipid storage,GO:0010888,COVID-19,MESH:D000086382,,CRP|IL6|TNF,5
cellular response to retinoic acid,GO:0071300,COVID-19,MESH:D000086382,,CCL2|MUC1|TNF,2
response to isolation stress,GO:0035900,COVID-19,MESH:D000086382,,CCL2|IL1B|TNF,2
cell projection,GO:0042995,COVID-19,MESH:D000086382,,ACE2|BSG|HCK,17
vascular endothelial growth factor production,GO:0010573,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,5
response to nutrient levels,GO:0031667,COVID-19,MESH:D000086382,,CRP|IL6|TNF,5
response to interferon-beta,GO:0035456,COVID-19,MESH:D000086382,,IFNAR2|PLSCR1,2
astrocyte cell migration,GO:0043615,COVID-19,MESH:D000086382,,CCL2|CCL3,1
positive regulation of fever generation,GO:0031622,COVID-19,MESH:D000086382,,IL1B|TNF,2
positive regulation of GTPase activity,GO:0043547,COVID-19,MESH:D000086382,,CCL2|CCL3,1
response to peptide hormone,GO:0043434,COVID-19,MESH:D000086382,,BSG|IL1B,2
integrin binding,GO:0005178,COVID-19,MESH:D000086382,,ICAM5|IL1B,2
negative regulation of MAP kinase activity,GO:0043407,COVID-19,MESH:D000086382,,AGT|IL1B,2
positive regulation of MAP kinase activity,GO:0043406,COVID-19,MESH:D000086382,,IL1B|TNF,2
phospholipase binding,GO:0043274,COVID-19,MESH:D000086382,,BTK|SELE,2
perikaryon,GO:0043204,COVID-19,MESH:D000086382,,CCL2|CCR2,2
response to amino acid,GO:0043200,COVID-19,MESH:D000086382,,CCL2|IL6,5
regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043122,COVID-19,MESH:D000086382,,IL1B|TNF,2
recycling endosome,GO:0055037,COVID-19,MESH:D000086382,,ATP11A|TNF,2
protein dimerization activity,GO:0046983,COVID-19,MESH:D000086382,,CRP|IL10,3
response to auditory stimulus,GO:0010996,COVID-19,MESH:D000086382,,CXCL10|IL6,5
T cell chemotaxis,GO:0010818,COVID-19,MESH:D000086382,,CCL3|CXCL10,1
lymphocyte proliferation,GO:0046651,COVID-19,MESH:D000086382,,IL2|IL2RA,3
negative regulation of insulin receptor signaling pathway,GO:0046627,COVID-19,MESH:D000086382,,IL1B|TNF,2
response to tumor necrosis factor,GO:0034612,COVID-19,MESH:D000086382,,CCL2|SELE,2
lipid binding,GO:0008289,COVID-19,MESH:D000086382,,BTK|HCK,2
positive regulation of endothelial cell migration,GO:0010595,COVID-19,MESH:D000086382,,AGT|BSG,2
zinc ion binding,GO:0008270,COVID-19,MESH:D000086382,,ACE2|PLSCR1,16
serine-type peptidase activity,GO:0008236,COVID-19,MESH:D000086382,,TMPRSS2|TMPRSS4,3
protein localization to plasma membrane,GO:0072659,COVID-19,MESH:D000086382,,BSG|TNF,2
epithelial cell proliferation involved in salivary gland morphogenesis,GO:0060664,COVID-19,MESH:D000086382,,IL6|TNF,5
endothelial cell apoptotic process,GO:0072577,COVID-19,MESH:D000086382,,IL10|TNF,2
positive regulation of calcidiol 1-monooxygenase activity,GO:0060559,COVID-19,MESH:D000086382,,IL1B|TNF,2
response to lead ion,GO:0010288,COVID-19,MESH:D000086382,,CRP|PLSCR1,2
toll-like receptor 3 signaling pathway,GO:0034138,COVID-19,MESH:D000086382,,OAS1|TNF,2
response to cytokine,GO:0034097,COVID-19,MESH:D000086382,,IL6|SELE,5
type I interferon-mediated signaling pathway,GO:0060337,COVID-19,MESH:D000086382,,IFNAR2|TYK2,1
type II interferon-mediated signaling pathway,GO:0060333,COVID-19,MESH:D000086382,,HCK|TYK2,2
regulation of T cell homeostatic proliferation,GO:0046013,COVID-19,MESH:D000086382,,IL2|IL2RA,3
positive regulation of endothelial cell proliferation,GO:0001938,COVID-19,MESH:D000086382,,CCL2|IL10,2
negative regulation of cytokine production,GO:0001818,COVID-19,MESH:D000086382,,BTK|IL10,3
regulation of cytokine production,GO:0001817,COVID-19,MESH:D000086382,,ACE2|IL10,17
maternal process involved in female pregnancy,GO:0060135,COVID-19,MESH:D000086382,,ACE2|CCL2,16
in utero embryonic development,GO:0001701,COVID-19,MESH:D000086382,,ATP11A|MUC1,1
